sample_name,exercise_folder,frame_count,tensor_shape,label,missing_landmark_count_approx
"quadriceps_ASMR Quads, ITB",quadriceps,900,"(4, 300, 10, 1)",0,0
quadriceps_Quad sets withou towel,quadriceps,1366,"(4, 300, 10, 1)",0,0
quadriceps_Groin Squeezes,quadriceps,1249,"(4, 300, 10, 1)",0,0
calf_Calf Stretch Lower Extremity,calf,3182,"(4, 300, 10, 1)",0,0
calf_wall calf stretch,calf,503,"(4, 300, 10, 1)",0,0
calf_Eccentric-Calf-on-Flat,calf,1629,"(4, 300, 10, 1)",0,0
calf_Downward Calf Stretch,calf,355,"(4, 300, 10, 1)",0,0
calf_Toes on the wall calf Stretch,calf,289,"(4, 300, 10, 1)",0,0
calf_Seated Calf Stretch,calf,707,"(4, 300, 10, 1)",0,0
leg_raise_Leg_lift,leg_raise,1699,"(4, 300, 10, 1)",0,0
leg_raise_Single Leg Deadlift,leg_raise,1591,"(4, 300, 10, 1)",0,0
leg_raise_Staright Leg Raises,leg_raise,1395,"(4, 300, 10, 1)",0,0
leg_raise_Straight Leg Raise under towel support,leg_raise,725,"(4, 300, 10, 1)",0,0
leg_raise_Leg Pull Front,leg_raise,1302,"(4, 300, 10, 1)",0,0
toes_Toe_Crunches,toes,1143,"(4, 300, 10, 1)",0,900
hip_Hip Bridge,hip,1034,"(4, 300, 10, 1)",0,0
hip_5 Best Hip  Knee Pain ,hip,1440,"(4, 300, 10, 1)",0,0
hip_1 hip knee pain,hip,720,"(4, 300, 10, 1)",0,0
hip_Hip Shifting,hip,1039,"(4, 300, 10, 1)",0,0
hip_4 Best Hip  Knee Pain ,hip,1440,"(4, 300, 10, 1)",0,0
hip_Hip Abduction,hip,954,"(4, 300, 10, 1)",0,0
hip_Supine Hip Excercise,hip,1800,"(4, 300, 10, 1)",0,0
hip_2 Best Hip  Knee Pain ,hip,960,"(4, 300, 10, 1)",0,0
hip_6 Best Hip  Knee Pain ,hip,1440,"(4, 300, 10, 1)",0,0
hip_Kneeling Hip Flexor Stretch,hip,583,"(4, 300, 10, 1)",0,0
hip_3 Best Hip  Knee Pain ,hip,960,"(4, 300, 10, 1)",0,0
hip_hip excercise with quadriceps strecthes,hip,1630,"(4, 300, 10, 1)",0,0
ankle_Ankle Pumps  ,ankle,810,"(4, 300, 10, 1)",0,0
ankle_Ankle Inversion with Band,ankle,562,"(4, 300, 10, 1)",0,0
ankle_Ankle Plantarflexion with Band,ankle,495,"(4, 300, 10, 1)",0,0
ankle_Ankle Dorsiflexion with Band,ankle,682,"(4, 300, 10, 1)",0,0
ankle_Ankle Eversion with Band,ankle,591,"(4, 300, 10, 1)",0,0
ankle_circular ankle excercises,ankle,583,"(4, 300, 10, 1)",0,0
ankle_Extended Knee Ankle Fl-Ex,ankle,1200,"(4, 300, 10, 1)",0,0
ankle_Ankle Pumps Excercise,ankle,1198,"(4, 300, 10, 1)",0,0
hamstring_Hamstring Stretch with a Strap,hamstring,925,"(4, 300, 10, 1)",0,0
hamstring_Hamstring Stretch in Long Sitting,hamstring,883,"(4, 300, 10, 1)",0,0
hamstring_Lower Hamstring Stretch ,hamstring,1119,"(4, 300, 10, 1)",0,0
hamstring_Hamstring Strecthing,hamstring,2344,"(4, 300, 10, 1)",0,0
hamstring_Hamstring Stretch in BED,hamstring,4096,"(4, 300, 10, 1)",0,0
hamstring_Seated Hamstring Stretch,hamstring,823,"(4, 300, 10, 1)",0,0
hamstring_Upper Hamstring Strecthes,hamstring,1199,"(4, 300, 10, 1)",0,0
hamstring_HAmstring Stretch BY the the Help of the wall,hamstring,823,"(4, 300, 10, 1)",0,0
knee_Knee Extension Stretch _ Physical Therapy,knee,812,"(4, 300, 10, 1)",0,0
knee_knee cook variation 1,knee,599,"(4, 300, 10, 1)",0,0
knee_knee cook variation 2,knee,1499,"(4, 300, 10, 1)",0,0
knee_knee cook variation,knee,900,"(4, 300, 10, 1)",0,0
knee_Small Knee Bends Excercise,knee,1221,"(4, 300, 10, 1)",0,0
knee_Hinged Knee Fl_Ex,knee,1800,"(4, 300, 10, 1)",0,0
knee_Quadriceps Sets ,knee,1432,"(4, 300, 10, 1)",0,0
knee_Standing Quad Stretch,knee,722,"(4, 300, 10, 1)",0,0
knee_quadriceps with knee excercises,knee,1015,"(4, 300, 10, 1)",0,0
knee_Quadriceps With the Knee Xtension,knee,919,"(4, 300, 10, 1)",0,0
knee_Standing Quad Stretch with Towel,knee,945,"(4, 300, 10, 1)",0,0
knee_Activated Squat,knee,2100,"(4, 300, 10, 1)",0,0
knee_knee hold,knee,632,"(4, 300, 10, 1)",0,0
knee_knee hold rising excercise,knee,1094,"(4, 300, 10, 1)",0,0
knee_knee variation 4,knee,1498,"(4, 300, 10, 1)",0,0
knee_knee variation 3,knee,1799,"(4, 300, 10, 1)",0,0
heel_slide_Heel Slides on Wall,heel_slide,928,"(4, 300, 10, 1)",0,0
heel_slide_Heel Slide without Shoe,heel_slide,1249,"(4, 300, 10, 1)",0,0
heel_slide_Heel Slide with Shoe,heel_slide,1034,"(4, 300, 10, 1)",0,0
heel_slide_Heel_Slides,heel_slide,884,"(4, 300, 10, 1)",0,0
heel_slide_Trans-Abdominal-Heel,heel_slide,4413,"(4, 300, 10, 1)",0,0
heel_slide_Heel Slides on bed,heel_slide,2350,"(4, 300, 10, 1)",0,0
