sample_name,filename,folder_name,file_path,duration,fps,frame_count,resolution,width,height
"quadriceps_ASMR Quads, ITB","ASMR Quads, ITB.mp4",quadriceps,"/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/quadriceps/ASMR Quads, ITB.mp4",30.0,30.0,900,640x360,640,360
quadriceps_Quad sets withou towel,Quad sets withou towel.mp4,quadriceps,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/quadriceps/Quad sets withou towel.mp4,56.97358333333333,23.976023976023978,1366,1280x720,1280,720
quadriceps_Groin Squeezes,Groin Squeezes.mp4,quadriceps,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/quadriceps/Groin Squeezes.mp4,49.96,25.0,1249,640x360,640,360
calf_Calf Stretch Lower Extremity,Calf Stretch Lower Extremity.mp4,calf,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/calf/Calf Stretch Lower Extremity.mp4,106.17273333333334,29.97002997002997,3182,1280x720,1280,720
calf_wall calf stretch,wall calf stretch.mp4,calf,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/calf/wall calf stretch.mp4,20.958333333333332,24.0,503,1280x720,1280,720
calf_Eccentric-Calf-on-Flat,Eccentric-Calf-on-Flat.mp4,calf,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/calf/Eccentric-Calf-on-Flat.mp4,65.16,25.0,1629,1280x720,1280,720
calf_Downward Calf Stretch,Downward Calf Stretch.mp4,calf,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/calf/Downward Calf Stretch.mp4,14.791666666666666,24.0,355,1280x720,1280,720
calf_Toes on the wall calf Stretch,Toes on the wall calf Stretch.mp4,calf,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/calf/Toes on the wall calf Stretch.mp4,12.041666666666666,24.0,289,1280x720,1280,720
calf_Seated Calf Stretch,Seated Calf Stretch.mp4,calf,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/calf/Seated Calf Stretch.mp4,29.458333333333332,24.0,707,1280x720,1280,720
leg_raise_Leg_lift,Leg_lift.mp4,leg_raise,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/leg_raise/Leg_lift.mp4,67.96,25.0,1699,1280x720,1280,720
leg_raise_Single Leg Deadlift,Single Leg Deadlift.mp4,leg_raise,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/leg_raise/Single Leg Deadlift.mp4,63.64,25.0,1591,1280x720,1280,720
leg_raise_Staright Leg Raises,Staright Leg Raises.mp4,leg_raise,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/leg_raise/Staright Leg Raises.mp4,55.8,25.0,1395,1280x720,1280,720
leg_raise_Straight Leg Raise under towel support,Straight Leg Raise under towel support.mp4,leg_raise,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/leg_raise/Straight Leg Raise under towel support.mp4,24.190857524190857,29.97,725,1920x1080,1920,1080
leg_raise_Leg Pull Front,Leg Pull Front.mp4,leg_raise,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/leg_raise/Leg Pull Front.mp4,52.08,25.0,1302,1280x720,1280,720
toes_Toe_Crunches,Toe_Crunches.mp4,toes,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/toes/Toe_Crunches.mp4,45.72,25.0,1143,1280x720,1280,720
hip_Hip Bridge,Hip Bridge.mp4,hip,/Users/priscillajosping/Downloads/labeling-cv/dataset_raw/hip/Hip Bridge.mp4,41.36,25.0,1034,1280x720,1280,720
