sample_name,label
"quadriceps_ASMR Quads, ITB",0
quadriceps_Quad sets withou towel,0
quadriceps_Groin Squeezes,0
calf_Calf Stretch Lower Extremity,0
calf_wall calf stretch,0
calf_Eccentric-Calf-on-Flat,0
calf_Downward Calf Stretch,0
calf_Toes on the wall calf Stretch,0
calf_Seated Calf Stretch,0
leg_raise_Leg_lift,0
leg_raise_Single Leg Deadlift,0
leg_raise_Staright Leg Raises,0
leg_raise_Straight Leg Raise under towel support,0
leg_raise_Leg Pull Front,0
toes_Toe_Crunches,0
hip_Hip Bridge,0
hip_5 Best Hip  Knee Pain ,0
hip_1 hip knee pain,0
hip_Hip Shifting,0
hip_4 Best Hip  Knee Pain ,0
hip_Hip Abduction,0
hip_Supine Hip Excercise,0
hip_2 Best Hip  Knee Pain ,0
hip_6 Best Hip  Knee Pain ,0
hip_Kneeling Hip Flexor Stretch,0
hip_3 Best Hip  Knee Pain ,0
hip_hip excercise with quadriceps strecthes,0
ankle_Ankle Pumps  ,0
ankle_Ankle Inversion with Band,0
ankle_Ankle Plantarflexion with Band,0
ankle_Ankle Dorsiflexion with Band,0
ankle_Ankle Eversion with Band,0
ankle_circular ankle excercises,0
ankle_Extended Knee Ankle Fl-Ex,0
ankle_Ankle Pumps Excercise,0
hamstring_Hamstring Stretch with a Strap,0
hamstring_Hamstring Stretch in Long Sitting,0
hamstring_Lower Hamstring Stretch ,0
hamstring_Hamstring Strecthing,0
hamstring_Hamstring Stretch in BED,0
hamstring_Seated Hamstring Stretch,0
hamstring_Upper Hamstring Strecthes,0
hamstring_HAmstring Stretch BY the the Help of the wall,0
knee_Knee Extension Stretch _ Physical Therapy,0
knee_knee cook variation 1,0
knee_knee cook variation 2,0
knee_knee cook variation,0
knee_Small Knee Bends Excercise,0
knee_Hinged Knee Fl_Ex,0
knee_Quadriceps Sets ,0
knee_Standing Quad Stretch,0
knee_quadriceps with knee excercises,0
knee_Quadriceps With the Knee Xtension,0
knee_Standing Quad Stretch with Towel,0
knee_Activated Squat,0
knee_knee hold,0
knee_knee hold rising excercise,0
knee_knee variation 4,0
knee_knee variation 3,0
heel_slide_Heel Slides on Wall,0
heel_slide_Heel Slide without Shoe,0
heel_slide_Heel Slide with Shoe,0
heel_slide_Heel_Slides,0
heel_slide_Trans-Abdominal-Heel,0
heel_slide_Heel Slides on bed,0
