sample_name,label
knee_knee hold,7
toes_Toe_Crunches,3
calf_Downward Calf Stretch,1
knee_knee variation 4,7
ankle_Ankle Dorsiflexion with Band,8
hamstring_Seated Hamstring Stretch,5
heel_slide_Heel Slides on bed,6
leg_raise_Leg_lift,2
heel_slide_Heel Slides on Wall,6
heel_slide_Heel Slide without Shoe,6
knee_Activated Squat,7
knee_Quadriceps Sets ,7
leg_raise_Leg Pull Front,2
quadriceps_Quad sets withou towel,0
knee_Standing Quad Stretch,7
hamstring_Hamstring Stretch in Long Sitting,5
ankle_Ankle Plantarflexion with Band,8
knee_Standing Quad Stretch with Towel,7
knee_knee cook variation 2,7
leg_raise_Single Leg Deadlift,2
knee_knee variation 3,7
ankle_Extended Knee Ankle Fl-Ex,8
knee_Quadriceps With the Knee Xtension,7
calf_Eccentric-Calf-on-Flat,1
hip_hip excercise with quadriceps strecthes,4
hip_4 Best Hip  Knee Pain ,4
hip_3 Best Hip  Knee Pain ,4
hip_Hip Abduction,4
knee_quadriceps with knee excercises,7
knee_knee cook variation 1,7
calf_Seated Calf Stretch,1
ankle_Ankle Pumps Excercise,8
hamstring_Upper Hamstring Strecthes,5
hamstring_HAmstring Stretch BY the the Help of the wall,5
hip_5 Best Hip  Knee Pain ,4
knee_Small Knee Bends Excercise,7
"quadriceps_ASMR Quads, ITB",0
hip_Hip Shifting,4
ankle_Ankle Pumps  ,8
hamstring_Hamstring Stretch in BED,5
knee_knee hold rising excercise,7
calf_Toes on the wall calf Stretch,1
hamstring_Lower Hamstring Stretch ,5
hip_1 hip knee pain,4
heel_slide_Heel_Slides,6
leg_raise_Straight Leg Raise under towel support,2
heel_slide_Trans-Abdominal-Heel,6
hip_Kneeling Hip Flexor Stretch,4
calf_Calf Stretch Lower Extremity,1
hip_Supine Hip Excercise,4
calf_wall calf stretch,1
hamstring_Hamstring Strecthing,5
